ABT2300-Shelf1-2(GigabitEthernet0/2/2)-ABT1416-Shelf1-1(GigabitEthernet0/2/1),ABT2300_ABT1416,L2 Link,North,ABBOTTABAD,ABT2300,ATN910C-G,ROOT/NWD FTTS/FTTS ABT/ABT2 (Wateen),10.210.132.72,Shelf1-2(GigabitEthernet0/2/2),10.210.165.242,ABT1416,ATN910C-G,10.210.132.73,Shelf1-1(GigabitEthernet0/2/1),10.210.165.243,10GE,10,ABT2300_GigabitEthernet0/2/2,ABT1416_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP7231-Shelf1-1(GigabitEthernet0/2/1)-BHP0864-Shelf1-0(GigabitEthernet0/2/0),BHP7231_BHP0864,L2 Link,Central B,BAHAWALPUR,BHP7231__P_GothBajan,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP3,10.210.146.92,Shelf1-1(GigabitEthernet0/2/1),10.210.157.89,BHP0864__P_Rehmat colony,ATN910C-G,10.210.146.90,Shelf1-0(GigabitEthernet0/2/0),10.210.157.90,10GE,10,BHP7231__P_GothBajan_GigabitEthernet0/2/1,BHP0864__P_Rehmat colony_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP0365-Shelf1-1(GigabitEthernet0/2/1)-BHP7231-Shelf1-0(GigabitEthernet0/2/0),BHP0365_BHP7231,L2 Link,Central B,BAHAWALPUR,BHP0365__P_MohallahIslamNagar,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP3,10.210.146.89,Shelf1-1(GigabitEthernet0/2/1),10.210.157.73,BHP7231__P_GothBajan,ATN910C-G,10.210.146.92,Shelf1-0(GigabitEthernet0/2/0),10.210.157.74,10GE,10,BHP0365__P_MohallahIslamNagar_GigabitEthernet0/2/1,BHP7231__P_GothBajan_GigabitEthernet0/2/0,2023-07-04 00:00:00
ABT2136-Shelf1-1(GigabitEthernet0/2/1)-ABT2300-Shelf1-1(GigabitEthernet0/2/1),ABT2136_ABT2300,L2 Link,North,ABBOTTABAD,ABT2136,ATN910C-G,ROOT/NWD FTTS/FTTS ABT/ABT2 (Wateen),10.210.132.71,Shelf1-1(GigabitEthernet0/2/1),10.210.165.240,ABT2300,ATN910C-G,10.210.132.72,Shelf1-1(GigabitEthernet0/2/1),10.210.165.241,10GE,10,ABT2136_GigabitEthernet0/2/1,ABT2300_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP7160_Muhammadia Colony Bhawalpur-Shelf1-3(GigabitEthernet0/2/3)-BHP3102-Shelf1-0(GigabitEthernet0/2/0),BHP7160_BHP3102,L2 Link,Central B,BAHAWALPUR,BHP7160_Muhammadia Colony Bhawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP5,10.210.146.81,Shelf1-3(GigabitEthernet0/2/3),10.210.157.113,BHP3102__S_BastiHasran,ATN910C-G,10.210.146.33,Shelf1-0(GigabitEthernet0/2/0),10.210.157.114,10GE,10,BHP7160_Muhammadia Colony Bhawalpur_GigabitEthernet0/2/3,BHP3102__S_BastiHasran_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP7160_Muhammadia Colony Bhawalpur-Shelf1-2(GigabitEthernet0/2/2)-BHP4214-Shelf1-0(GigabitEthernet0/2/0),BHP7160_BHP4214,L2 Link,Central B,BAHAWALPUR,BHP7160_Muhammadia Colony Bhawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP3,10.210.146.81,Shelf1-2(GigabitEthernet0/2/2),10.210.157.53,BHP4214__P_AhmedpurRoad,ATN910C-G,10.210.146.85,Shelf1-0(GigabitEthernet0/2/0),10.210.157.54,10GE,10,BHP7160_Muhammadia Colony Bhawalpur_GigabitEthernet0/2/2,BHP4214__P_AhmedpurRoad_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP0006-Shelf1-1(GigabitEthernet0/2/1)-BHP7943-Shelf1-0(GigabitEthernet0/2/0),BHP0006_BHP7943,L2 Link,Central B,BAHAWALPUR,BHP0006__S_CSD Cantt_BW4551,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP1,10.210.146.83,Shelf1-1(GigabitEthernet0/2/1),10.210.157.9,BHP7943__P_BastiMalookShah,ATN910C-G,10.210.146.84,Shelf1-0(GigabitEthernet0/2/0),10.210.157.10,10GE,10,BHP0006__S_CSD Cantt_BW4551_GigabitEthernet0/2/1,BHP7943__P_BastiMalookShah_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP7160_Muhammadia Colony Bhawalpur-Shelf1-0(GigabitEthernet0/2/0)-BHP7943-Shelf1-1(GigabitEthernet0/2/1),BHP7160_BHP7943,L2 Link,Central B,BAHAWALPUR,BHP7160_Muhammadia Colony Bhawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP1,10.210.146.81,Shelf1-0(GigabitEthernet0/2/0),10.210.157.14,BHP7943__P_BastiMalookShah,ATN910C-G,10.210.146.84,Shelf1-1(GigabitEthernet0/2/1),10.210.157.13,FE,10,BHP7160_Muhammadia Colony Bhawalpur_GigabitEthernet0/2/0,BHP7943__P_BastiMalookShah_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP7317-Shelf1-1(GigabitEthernet0/2/1)-BHP0006-Shelf1-0(GigabitEthernet0/2/0),BHP7317_BHP0006,L2 Link,Central B,BAHAWALPUR,BHP7317__S_TrustColonyBhawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP1,10.210.146.82,Shelf1-1(GigabitEthernet0/2/1),10.210.157.5,BHP0006__S_CSD Cantt_BW4551,ATN910C-G,10.210.146.83,Shelf1-0(GigabitEthernet0/2/0),10.210.157.6,10GE,10,BHP7317__S_TrustColonyBhawalpur_GigabitEthernet0/2/1,BHP0006__S_CSD Cantt_BW4551_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP7160_Muhammadia Colony Bhawalpur-Shelf1-1(GigabitEthernet0/2/1)-BHP7317-Shelf1-0(GigabitEthernet0/2/0),BHP7160_BHP7317,L2 Link,Central B,BAHAWALPUR,BHP7160_Muhammadia Colony Bhawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP1,10.210.146.81,Shelf1-1(GigabitEthernet0/2/1),10.210.157.1,BHP7317__S_TrustColonyBhawalpur,ATN910C-G,10.210.146.82,Shelf1-0(GigabitEthernet0/2/0),10.210.157.2,FE,10,BHP7160_Muhammadia Colony Bhawalpur_GigabitEthernet0/2/1,BHP7317__S_TrustColonyBhawalpur_GigabitEthernet0/2/0,2023-07-04 00:00:00
