50,0101000020E6100000A835CD3B4E0D5140E9263108AC8C3B40,27.5495,68.2079,LKN5091,South,Larkana
51,0101000020E610000002BC051214355240CF66D5E76AB33D40,29.70085,72.82935,HWY1878,Central A,Highway
52,0101000020E6100000A4060DDC45CD51400B7F6529822C3F40,31.17386111,71.20738889,RUR4813,Central B,Rural
53,0101000020E6100000A60A4625757E524011C7BAB88DF63E40,30.9631,73.9759,CHU3108,Central A,Chunian
54,0101000020E6100000E59B6D6E4C0B5240A4C2D84290CB3D40,29.79517,72.17654,MLS3208,Central B,Mailsi
55,0101000020E61000005DC47762D6F951407AA52C431C2B4140,34.3368,71.90371,MDB3734,North,MADAY BABA
56,0101000020E6100000C8EA56CF493B52408E01D9EBDDFF4040,33.99896,72.92638,HRR1410,North,Haripur
57,0101000020E610000052B81E85EBED5040984C158C4A0A3B40,27.0402,67.7175,KNS0470,South,Khairpur Nathan Shah
58,0101000020E610000015ECD86B2EC050407D0CF371AFD93840,24.85033333,67.00283333,KHI0022,South,KARACHI
59,0101000020E61000006891ED7C3F5B524097CADB114E533F40,31.32541,73.42575,JRW8427,Central B,Jarranwala
60,0101000020E6100000E60EB465AD8052401C27224FD4BF3F40,31.74933333,74.01058333,HWY8783,Central A,Highway
61,0101000020E6100000137EA99F373B5140C5E6E3DA50113C40,28.06764,68.92527,HGW6039,South,HIGHWAY
62,0101000020E6100000533F6F2A52C7514073637AC2128F4040,33.11776,71.11439,KRK1117,North,KARAK
63,0101000020E6100000711B0DE02D305240C746205ED73F3F40,31.24938,72.7528,RUR4780,Central B,Rural
64,0101000020E610000055C1A8A44E285140E3361AC05B703B40,27.4389,68.6298,HGW8054,South,HIGHWAY
65,0101000020E610000010E9B7AF030F5240F0A7C64B37C14040,33.5095,72.2346,HWY1206,North,Mathial
66,0101000020E6100000977329AE2A595240293FA9F6E9084140,34.06964,73.39323,NTH0195,North,NATHYA GALI
67,0101000020E6100000A27A6B60AB425240D881734694564140,34.6764,73.04171,BTG1545,North,BATGRAM
628,0101000020E6100000E1455F419ABB5040E9D495CFF2F43840,24.95683,66.93129,KHI6387,South,Karachi
68,0101000020E61000007B832F4CA6BA51403411363CBD623D40,29.3857,70.9164,RUR3545,Central B,Alipur
69,0101000020E6100000401361C3D353524060764F1E165A3F40,31.3519,73.3098,HWY4705,Central B,Highway
70,0101000020E61000008FDFDBF467F3514061C3D32B65314140,34.3859,71.80322,RUR3888,North,Rural
71,0101000020E6100000F46C567DAE3852408DEE2076A6704140,34.88008,72.88565,BSM3446,North,Bisham
72,0101000020E6100000FE65F7E4615152404772F90FE9E73F40,31.9059,73.2716,HWY0394,Central A,Highway
73,0101000020E6100000A8C64B3789415240371AC05B20294040,32.3213,73.024,HWY0404,Central B,Highway
74,0101000020E6100000D8BB3FDEABA45240C7F484251E0C4040,32.09467,74.57299,RUR5010,Central A,Rural
75,0101000020E6100000677E350708485240931804560E054140,34.0395,73.12549,HWY3000,North,Highway
76,0101000020E610000033DC80CF0F3F524051F701486DBA3F40,31.72823,72.98534,CHN4463,Central B,Chiniot
77,0101000020E61000002FA935283549524052B81E85EBC94040,33.5775,73.14386945,RWP1743,North,RAWALPINDI
78,0101000020E610000088F4DBD781295140A33B889D29F43B40,27.95376,68.64855,SKP5090,South,Shikarpur
79,0101000020E61000002098A3C7EFF751405D8AABCABEFB3D40,29.98338,71.87401,TSP0031,Central B,Tibba Sultanpur
80,0101000020E61000008E3BA583F52B5240657094BC3A0B4040,32.08773,72.68686,SGD2060,Central B,SARGODHA
81,0101000020E6100000C39E76F86B425240F38E537424174040,32.1808,73.03784,HWY0133,Central B,Highway
82,0101000020E61000001F85EB51B85A51407B4B395FECDD3B40,27.866888,69.4175,KPM5818,South,Khanpur Mehar
83,0101000020E6100000EFCB99ED0ADE514050A73CBA117A3D40,29.476833,71.469417,RUR4579,Central B,Rural
84,0101000020E610000027F73B1405AE5140E6965643E27E3E40,30.49564,70.71906,HWY4309,Central B,Highway
85,0101000020E6100000DC3710F56F5A52403D0AD7A370553F40,31.33375,73.41308333,JRW4011,Central B,Jarranwala
86,0101000020E610000003098A1F63DE5140A779C7293A423D40,29.2587,71.4748,HWY0443,Central B,Highway
87,0101000020E61000006CCF2C0950115140F792C6681D253A40,26.14498,68.27051,SKD5783,South,Sakrand
88,0101000020E6100000DE59BBED426B5140F9F719170E0C3C40,28.04709,69.67596,DKI5784,South,DHARKI
89,0101000020E61000000B462575021251405F984C158C5A3940,25.3537,68.2814,KOT0663,South,Kotri
90,0101000020E61000005CE674594C1A5140AD6EF59CF43E3A40,26.24592,68.41091,NWB5083,South,Nawabshah
91,0101000020E6100000E4F736FDD91B52403B3602F1BAC63E40,30.77629,72.43518,PML3516,Central B,Pir Mahal
92,0101000020E6100000CBBE2B82FFC15140747B4963B4163D40,29.08869,71.03122,HWY7416,Central B,Highway
93,0101000020E6100000DD0720B589395240CB67791EDC3D3E40,30.24164,72.89903,HWY1660,Central B,Highway
94,0101000020E61000008BFD65F7E4215240C442AD69DED13F40,31.8198,72.5296,SLW4272,Central B,Sillanwali
95,0101000020E61000001618B2BAD5B15140BE6A65C22F614040,32.75927,70.77867,HWY1172,North,GandiChowk
96,0101000020E6100000FC523F6F2AE45140E25817B7D1FC4040,33.97515,71.56509,PSH0319,North,PESHAWAR
97,0101000020E610000063EE5A423EB45140A323B9FC87C43C40,28.7677,70.8163,HWY0714,Central B,Highway
98,0101000020E6100000F168E388B56051408D7F9F71E1083C40,28.03469,69.51108,MPM6273,South,MIR PUR MATHELO
99,0101000020E6100000DF6C73637A54524002D9EBDD1F9F4040,33.24316,73.31997,GJK0837,North,GOJAR KHAN
100,0101000020E6100000352905DD5EBC5140C45F9335EA754040,32.92121,70.94329,MCB3767,North,MUCHKI BANDA
101,0101000020E610000079060DFD13505240ADDD76A1B9CE3D40,29.80752,73.25122,HWY0660,Central A,Highway
102,0101000020E610000014ED2AA4FC145240ACFF73982F473F40,31.27807,72.32792,JHG3842,Central B,Jhang
103,0101000020E6100000170E8464013F5240187D0569C6623F40,31.38584,72.98446,FSD0810,Central B,Faisalabad
104,0101000020E6100000B6847CD0B3355140734BAB2171B73B40,27.71657,68.8391,SUK0795,South,SUKKUR
105,0101000020E61000005DBF60376C0B52408D9C853DED704040,32.88224,72.17848,HWY2153,North,Highway
106,0101000020E6100000FAB836548C6D5240545227A089784040,32.9417,73.71169,MGW0004,North,Jhelum
107,0101000020E61000005B423EE8D92C52408126C286A7873E40,30.5299,72.7008,CWT0490,Central B,Chichawatni
108,0101000020E610000057EC2FBB27A95140516B9A779C0A3E40,30.04145,70.64305,DGK3394,Central B,Dera Ghazi Khan
109,0101000020E610000056785DE02EC65040B0FDE8C4B3EA3840,24.91680556,67.09661111,KHI0035,South,Karachi
110,0101000020E6100000DC4B1AA37546524044A33B889DA93E40,30.66256,73.10093,SHW0326,Central A,Sahiwal
111,0101000020E6100000FE65F7E461695240787AA52C43AC3E40,30.6729,73.6466,DPL3328,Central A,Dipalpur
112,0101000020E610000025404D2D5B83524052616C21C8E13E40,30.88196,74.05244,HUJ7681,Central A,Hujra Shah Muqeem
113,0101000020E6100000164D672783BB514032207BBDFBC33E40,30.76556,70.92988,HWY0094,Central B,Highway
114,0101000020E610000017B7D100DE0052409AB1683A3B514140,34.63462,72.01355,THN3854,North,THANA
115,0101000020E61000009609BFD4CF29524022A64412BD6C4040,32.84952,72.65331,HWY2126,North,Balkaser
629,0101000020E6100000A4060DDC45C15040BB4D131159DD3840,24.8646403,67.01988889,DTE0159,South,Karachi
117,0101000020E6100000FE9AAC510F7F52406F47382D782D4040,32.35523,73.98531,SKY9499,Central A,Sarokay
118,0101000020E6100000ADFA5C6DC5EE5140C58F31772D613D40,29.3796,71.7308,MGW0003,Central B,Bahawalpur
119,0101000020E61000005A8121AB5BFF5040A4A5F27684AB3A40,26.66999,67.98997,MOR0449,South,Moro
120,0101000020E61000000E677E3507505240B58993FB1D023E40,30.00827,73.25044,BWN3838,Central A,Bahawalnagar
121,0101000020E6100000C10833D069D751400A2FE2B7F86B4040,32.84352778,71.36583333,RUR4317,North,Rural
122,0101000020E61000002E90A0F8318E514070CE88D2DE703C40,28.4409,70.2218,HWY0734,Central B,Highway
123,0101000020E61000003480B740827652409E5E29CB10073F40,31.0276,73.8517,PTT0325,Central A,Pattoki
124,0101000020E6100000A228D027F2FA51405665DF15C19F3D40,29.62404,71.92103,KRP7375,Central B,Kahror Pakka
125,0101000020E6100000FE65F7E461E95140787AA52C438C3D40,29.5479,71.6466,LDH0436,Central B,Lodhran
126,0101000020E610000003B5183C4C7B52408081204086D23E40,30.822361,73.926528,RUR4962,Central A,Rural
128,0101000020E61000004DF38E5374745240C442AD69DE214040,32.2646,73.8196,ALC3447,Central A,Alipur Chatha
129,0101000020E6100000AE47E17A142C52409C39A07CAC2A3E40,30.16669444,72.68875,BRW4025,Central B,BUREWALA
130,0101000020E6100000EF38454772555240E3A59BC420803F40,31.5005,73.3351,HWY4159,Central B,Highway
131,0101000020E6100000E08442041C065240087250C24C2B3F40,31.16914,72.09546,ATH4921,Central B,Athara Hazari
132,0101000020E6100000DDEF5014E83D52403CBD529621D24040,33.64165,72.96729,ISB1066,North,ISLAMABAD
133,0101000020E6100000B65D2E030A2A5240098720FFB37D3D40,29.49102778,72.65686111,RUR4080,Central A,Rural
134,0101000020E61000001361C3D32B7D524027C286A7575A4040,32.7058,73.9558,LLM0360,Central A,Lala Musa
127,0101000020E6100000B003E78C28455240AD69DE718A6E3F40,31.4318,73.0806,FSD0420,Central B,Faisalabad
