KHB1654_PSH0037,KHB1654_NE8000_M8_Kugha_Khel_100GE0/3/0,,
DRA2064_KMD2240,DRA2064_NE8000_M8_NachkraDir_100GE0/3/0,,
BJR1772_BJR2292,BJR1772_NE8000_M8_Loesam_100GE0/6/0,,
HWY1133_KMR0388,HWY1133_NE8000_M8_JahanianCheckpost_GigabitEthernet0/1/7,,
HWY1133_AZH1223,HWY1133_NE8000_M8_JahanianCheckpost_100GE0/3/0,,
RUR0438_HWY3573,RUR0438_NE8000_M8_Baghbanan_GigabitEthernet0/1/8,,
GUJ0278_GUJ3302,GUJ0278_NE8000_M8_RAHWALI_CANTT_GUJRANWALA_100GE0/7/0,,
BWL7602_HWY0404,BWL7602_NE8000_M14_SatelliteBWL_GigabitEthernet0/8/0,,
BWL7602_HWY0404_2,BWL7602_NE8000_M14_SatelliteBWL_GigabitEthernet0/6/1,,
RWP4983_ISB0362,RWP4983_NE8000_M8_Khayaban_Iqbal_50|100GE0/4/0,,
KMD2240_MDD2536,KMD2240_NE8000_M8_Gaalgut_100GE0/6/0,,
AZH1223_KMR0388,AZH1223_NE8000_M8_AdalzaiHaroon_GigabitEthernet0/1/6,,
AZH1223_KMR0388_2,AZH1223_NE8000_M8_AdalzaiHaroon_100GE0/3/0,,
RUR0438_PSH0319,RUR0438_NE8000_M8_Baghbanan_GigabitEthernet0/3/1,,
MGW0001_RUR2039,MGW0001_NE8000_M14_MGW-Mardan-1 Metro/LDI_GigabitEthernet0/2/8,,
RUR2039_MGW0001,RUR2039_NE8000_M8_GumbatMardan_GigabitEthernet0/3/4,,
KHI0771_KHI5235,KHI0771_NE8000_M8_AyubGoth_50|100GE0/4/0,,
KHI0771_KHI0086,KHI0771_NE8000_M8_AyubGoth_50|100GE0/3/0,,
KHI0032_KHI0865,KHI0032_Halar_50|100GE0/6/0,,
KTA3683_RWK3835,KTA3683_NE8000_M8_Kahuta-1_100GE0/5/0,73.6314248,33.7583324
KTA3683_RWK3835_2,KTA3683_NE8000_M8_Kahuta-2_100GE0/5/0,,
HWY0367_DSK0321,HWY0367_Jasarwala_100GE0/6/0,,
FTJ1207_KOR3709,FTJ1207_NE8000_M8_Fatehjang_100GE0/7/0,72.60059995,33.39109835
KOR1204_KOR3709,KOR1204_NE8000_M8_Dhalian_100GE0/4/0,72.43282318,33.24437216
TLG1126_KOR1204,TLG1126_NE8000_M8_TALAGANAG_2_100GE0/4/0,72.40653932,33.04444274
GUJ3302_DSK0321,GUJ3302_NE8000_M14_MGW-1_LDI_100GE0/7/0,74.24263469,32.22547799
SKT3605_SKT0416,SKT3605_50|100GE0/4/0,32.48706846,74.54518659
SKT0315_HWY0367,HWY0367_Jasarwala_100GE0/5/0,74.4797934,32.43452451
