43,,,,,,,,,Dera Ismail Khan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
44,,,,,,,,,Chitral,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
45,,,,,,,,,Shahdadkot,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
46,,,,,,,,,Dera Ghazi Khan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
47,,,,,,,,,Chakwal,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
48,,,,,,,,,Narowal,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
49,,,,,,,,,Mardan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
50,,,,,,,,,Vehari,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
51,,,,,,,,,Lasbela,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
52,,,,,,,,,Mansehra,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
53,,,,,,,,,Bagh,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
54,,,,,,,,,Gujrat,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
55,,,,,,,,,Lehri,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
56,,,,,,,,,Rawalpindi,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
57,,,,,,,,,Bhakkar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
58,,,,,,,,,Swat,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
59,,,,,,,,,Matiari,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
60,,,,,,,,,Bajaur Agency,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
61,,,,,,,,,Lower Dir,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
62,,,,,,,,,Upper Dir,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
63,,,,,,,,,Kasur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
64,,,,,,,,,Naushahro Feroze,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
65,,,,,,,,,Bhimber,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
66,,,,,,,,,Layyah,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
