North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_3_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/6,M2B-KHI-BRQ2-HRT-01,GigabitEthernet4/0/0,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_3_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/6,M2B-KHI-BRQ2-HRT-01,GigabitEthernet4/0/0,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_1_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/1,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_2_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet 4/0/10,150 G,4,4,10G,Working,"P: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Warid MSC-Khanwal- Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
W: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC "
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_2_P,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet 4/0/10,150 G,4,4,10G,Protection,"P: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Warid MSC-Khanwal- Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
W: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC "
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Gujranwala_1_3_W,P-PE Link,Gujranwala,GUJ3302,32.2052,74.1749,M2B-LHR-FRF-HRT-01,GigabitEthernet2/0/4,M2B-GJW-MGW-HRT-01,GigabitEthernet6/0/1,130G,32,,10G,Working,FRF-Gujranwala
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_3_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/4,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/0,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_4_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,Gig4/0/4,M2B-LHR-MCH-HRT-01,Gig3/0/3,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_5_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,Gig5/0/4,M2B-LHR-MCH-HRT-01,Gig3/0/10,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_3_2_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,100GE7/0/1,M2B-LHR-MCH-HRT-01,100GE7/0/0,150 G,4,4,100G,Working,"W: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Bhawalpur-Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
P: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-GujjarKhan-Jhelum-Kharian-Gujrat-Sialkot-Gujranwala-Muridkey-FRF-MC"
